id,fullName,team,position,status
42829,Johan Rojas,PHI,CF,Active
42884,Josh Smith,TEX,3B,Active
42898,Yoendrys Gomez,LAD,RP,Active
42927,Christopher Morel,TB,LF,Active
42933,Jared Triolo,PIT,2B,Active
42958,Joey Ortiz,MIL,SS,Active
42959,Isaac Collins,MIL,LF,Active
42962,Matthew Gorski,PIT,CF,Active
42987,David Hamilton,BOS,2B,Active
42996,Hayden Wesneski,HOU,SP,Active
42999,Will Wilson,CLE,SS,Active
43030,Tyler Fitzgerald,SF,2B,Active
43031,David Villar,SF,2B,Active
43102,Bill Lyons,STL,UN,Active
2560565,Cam Booser,CHW,RP,Active
3107919,Bailey Ober,MIN,SP,Active
3183870,Collin Snider,SEA,RP,Active
3210625,Jacob Latz,TEX,RP,Active
3332018,Tylor Megill,NYM,SP,Active
3459223,Jake Bird,COL,RP,Active
3896017,Sean Guenther,DET,RP,Active
3960984,Jonah Bride,MIN,1B,Active
3962127,Max Schuemann,ATH,3B,Active
3978173,Calvin Faucher,MIA,RP,Active
3983833,Tyler Holton,DET,RP,Active
3983841,Cole Sands,MIN,RP,Active
3985190,Edouard Julien,MIN,2B,Active
4019484,Ryan Feltner,COL,SP,Active
4019957,Noah Davis,LAD,RP,Active
4084179,Graham Ashcraft,CIN,RP,Active
4109031,Christian Koss,SF,2B,Active
4109034,Andre Pallante,STL,SP,Active
4109109,Vinnie Pasquantino,KC,1B,Active
4109223,Michael Massey,KC,2B,Active
4142414,Yuki Matsui,SD,RP,Active
4142421,Kodai Senga,NYM,SP,Active
4142423,Tomoyuki Sugano,BAL,SP,Active
4142424,Seiya Suzuki,CHC,RF,Active
4148749,Robert Suarez,SD,RP,Active
4152950,Erik Miller,SF,RP,Active
4187661,Hunter Gaddis,CLE,RP,Active
4208281,Ryan Pepiot,TB,SP,Active
4228247,Brandon Eisert,CHW,RP,Active
4228299,Noah Murdock,ATH,RP,Active
4228579,Tim Herrin,CLE,RP,Active
4297758,Heston Kjerstad,BAL,LF,Active
4297835,Garrett Crochet,BOS,SP,Active
4297897,Emerson Hancock,SEA,SP,Active
4297978,Matt Mervis,MIA,1B,Active
4297994,Jake Eder,LAA,RP,Active
4298378,Carmen Mlodzinski,PIT,SP,Active
4299966,Eric Orze,TB,RP,Active
4301067,Bryce Elder,ATL,SP,Active
4307467,Justin Sterner,ATH,RP,Active
4313208,Paxton Schultz,TOR,RP,Active
4314013,Nick Loftin,KC,2B,Active
4326697,Reid Detmers,LAA,RP,Active
4326800,Ben Casparius,LAD,RP,Active
4345070,Alec Burleson,STL,1B,Active
4345076,Gavin Williams,CLE,SP,Active
4345164,Max Meyer,MIA,SP,Active
4345192,Tim Tawa,ARI,2B,Active
4345278,Tanner Bibee,CLE,SP,Active
4345404,Landen Roupp,SF,SP,Active
4345620,Dillon Dingler,DET,C,Active
4345843,Patrick Bailey,SF,C,Active
4346117,Casey Legumina,SEA,RP,Active
4346118,Alek Jacob,SD,RP,Active
4411979,Yariel Rodriguez,TOR,RP,Active
4413898,Will Wagner,TOR,3B,Active
4414112,Chase Lee,DET,RP,Active
4414210,Jacob Young,WSH,CF,Active
4414361,Cole Henry,WSH,RP,Active
4414528,Andrew Abbott,CIN,SP,Active
4414551,Mike Vasil,CHW,RP,Active
4414687,Trey Sweeney,DET,SS,Active
4415762,Kyle Nicolas,PIT,RP,Active
4416591,Hunter Goodman,COL,C,Active
4417465,Craig Yoho,MIL,RP,Active
4417606,Connor Norby,MIA,3B,Active
4417795,Sal Frelick,MIL,RF,Active
4418343,Grant Holman,ATH,RP,Active
4418683,Henry Davis,PIT,C,Active
4422899,Matt McLain,CIN,2B,Active
4424112,Mason Montgomery,TB,RP,Active
